Tweet,Author ID,Date
"$URI $AEP $AXON 💥 $ONEI just warming up! Shorts panicking, vol surging🔥 ATH $1.39 next—TO THE MOON. 

LET’S GOOOO!

$AAPL $NU $MARA $QCOM #BiggBossTamil8 #shailenzo #GrandeFratello #tommavi $PLTR $RUM https://t.co/5sttANJaqL",2205280811,2024-12-30 11:03:22+00:00
"Premier trading community—Receive the next winning alerts here! here:https://t.co/SgB2mRPMUb

$HTBX  $AYTU $AAL $INO $AAPL $SPY $FDX $UVXY $DKNG $BA $TSLA $WMT $FSLY $NFLX $SBUX $IMMU https://t.co/g7Q9gpU1ny",1570656477282709505,2024-12-30 11:02:24+00:00
"$CEMI $SPY $TSLA $SHOP $AMZN $NVDA $ROKU $EBAY $AMD $BB $DAL $DOW $KODK $AAPL $ESE $SPCE $FCEL $TRIP $BYND
Most profitable trading COMMUNITY https://t.co/ct4kHsMznt https://t.co/zR09qFjyKS",1837978089072349185,2024-12-30 11:02:17+00:00
"GO ON PANIC BUY!
😳S&amp;P 500 market cap is near 50% of world GDP. At the peak of the bubble in 2000 it was 38%

 $TSLA $AAPL $AMZN $NVDA $AMD $MSFT $NFLX $META $GOOG $V $MA $DXY $TLT $MS $GS $BAC $JPM $SCHW $WFC $BLK $BX $C $BRK.B $WMT $COST $HD $JNJ $XOM $PG $RBLX $DPZ $MNST $SNOW https://t.co/ceQHjB0hC1",1501559832654004227,2024-12-30 11:01:56+00:00
"Unlock the potential of DCA (Dollar Cost Averaging) and amplify your trading power! 
https://t.co/SgB2mRPMUb

$LCID $AMZN $MSFT $HCMC $AAPL $SPY $TSLA $FB $GOOG $BABA $SQ $NFLX $NVDA $BTC $SHOP $AMC $GME https://t.co/jhWL8GS6Me",1570656477282709505,2024-12-30 11:01:52+00:00
"Stay ahead of the curve with Xtraders! 

Join us at https://t.co/SgB2mRPMUb

Congratulations to all participants! 

See you tomorrow for more market insights! 📈
$AMZN $AAPL $BA $BABA $FB $TSLA $MSFT $ROKU https://t.co/7mDZAJ1s6J",1570656477282709505,2024-12-30 11:01:19+00:00
"😳Billionaire and Mining Legend 
Says The Next 4 years is going to be the best 4 years for #GOLD in 77 Years

 $TSLA $AAPL $AMZN $NVDA $AMD $MSFT $NFLX $META $GOOG $V $MA $DXY $TLT $MS $GS $BAC $JPM $SCHW $WFC $BLK $BX $C $BRK.B $WMT $COST $HD $JNJ $XOM $PG $RBLX $DPZ $MNST $SNOW https://t.co/DJe4mZBEFN",1501559832654004227,2024-12-30 11:01:05+00:00
"$AAPL $SPY $SPX $QQQ     

BTIG market technician cautious on Apple heading into January    

BTIG Chief Market Technician Jonathan Krinsky thinks the market can ""continue to make upside progress"" into year-end and sees a new all-time high for the S&amp;P 500 (SPX) above 6,100.… https://t.co/O8GP0qI907",1577382889104318472,2024-12-30 11:00:57+00:00
"welcome to the discord group ❤️🙏https://t.co/WUfz59GZw8

$SPY $QQQ $ATH $CCL $AMD $AAPL $MSFY $BA $COST $MIST $AMZN $INUV https://t.co/XJHdm8Szbd",1838722759297503236,2024-12-30 11:00:50+00:00
"Alerts
Update 
Watchlist
Discord chatroom
https://t.co/WUfz59GZw8
❤️
Stocks, Options,Forex

$AAL $NAKD $DYNT $INO  $BYFC $TSLA $SPY $BOXL $AAPL $AYRO $ACHV https://t.co/ioCaUjhLvu",1838722759297503236,2024-12-30 11:00:06+00:00
